Date,AAPL,MSFT,NVDA
2026-07-01,294.1263427734375,384.2799987792969,197.5800018310547
2026-07-02,308.3640441894531,390.489990234375,194.8300018310547
2026-07-06,312.3905944824219,386.739990234375,195.5500030517578
2026-07-07,310.3923034667969,388.8399963378906,196.92999267578125
2026-07-08,313.1199645996094,383.3399963378906,204.1199951171875
2026-07-09,315.947509765625,384.3599853515625,202.77999877929688
2026-07-10,315.0483093261719,385.1000061035156,210.9600067138672
2026-07-13,317.03656005859375,390.989990234375,203.52999877929688
2026-07-14,314.58868408203125,384.92999267578125,211.8000030517578
2026-07-15,327.2178039550781,395.6300048828125,212.5
2026-07-16,332.97283935546875,401.1000061035156,207.39999389648438
2026-07-17,333.452392578125,393.82000732421875,202.80999755859375
2026-07-20,326.3085632324219,402.2900085449219,203.27999877929688
2026-07-21,327.45758056640625,397.75,207.2899932861328
2026-07-22,325.60919189453125,390.3399963378906,212.05999755859375
2026-07-23,321.3828430175781,381.5799865722656,208.75999450683594
2026-07-24,332.7330322265625,381.70001220703125,206.83999633789062
2026-07-27,336.61968994140625,389.1000061035156,196.50999450683594
2026-07-28,339.78692626953125,393.3500061035156,197.00999450683594
2026-07-29,337.8985900878906,390.5400085449219,190.00999450683594
2026-07-30,333.1426696777344,451.1000061035156,195.0399932861328
2026-07-31,308.6438293457031,464.7200012207031,200.75
2026-08-03,303.1585693359375,487.6499938964844,206.63999938964844
2026-08-04,309.1134033203125,492.80999755859375,211.94000244140625
2026-08-05,310.7320251464844,487.4599914550781,219.22000122070312
2026-08-06,312.14080810546875,499.8599853515625,218.99000549316406
2026-08-07,313.05999755859375,499.989990234375,223.9600067138672
2026-08-10,308.260009765625,506.05999755859375,217.5500030517578
2026-08-11,304.9100036621094,503.80999755859375,217.5
2026-08-12,302.25,492.42999267578125,224.08999633789062
2026-08-13,305.260009765625,496.8800048828125,225.3000030517578
2026-08-14,305.92999267578125,495.3999938964844,225.16000366210938
2026-08-18,310.8500061035156,482.32879638671875,219.5500030517578
